SKN,Name,Lat_DD,Lon_DD,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,NorthingY,EastingX,ElevFT,ElevM,Observer,MinYear,MaxYear,StationStatus,DataSources
3.3,Kealakoa,19.11504791,-155.6330485,19,6,54.2,155,37,59,2116968.947,854288.306,3100,945,KAHUKU RANCH,1969,1974,Discontinued,State
3.5,Glover,19.12782672,-155.7180456,19,7,40.2,155,43,5,2118214.468,845310.029,3960,1207,KAHUKU RANCH,1969,1974,Discontinued,State
3.6,Manuwai Nui,19.12310389,-155.6766578,19,7,23.2,155,40,36,2117773.609,849678.431,3760,1146,KAHUKU RANCH,1963,1974,Discontinued,State
3.8,Kahiawai Mauka,19.13227142,-155.759156,19,7,56.2,155,45,33,2118626.058,840971.798,4120,1256,SMITH R,1976,1978,Discontinued,State
4,Kamaoa,19.0042156,-155.6638817,19,0,15.2,155,39,50,2104626.761,851274.717,1070,326,KAWAIHAE RANCH,1945,1952,Discontinued,State
4.11,Kamaoa,19.04143649,-155.6277712,19,2,29.2,155,37,40,2108823.475,855001.209,1074,327,KAWAIHAE RANCH,1970,1971,Discontinued,State
4.2,Keaa Homesteads,19.04365913,-155.6588813,19,2,37.2,155,39,32,2109007.011,851718.539,1680,512,BARTELS MRS F,1901,1906,Discontinued,State
4.3,Kaalualu Bay,18.97033138,-155.6138838,18,58,13.2,155,36,50,2100973.127,856616.324,20,6,HUTCHINSON SUGAR,1956,1961,Discontinued,State
4.6,George Peck,18.99893763,-155.657493,18,59,56.2,155,39,27,2104054.769,851959.138,1022,312,KAHUKU RANCH,1969,1974,Discontinued,State
4.9,Kaalualu,18.93777778,-155.6458333,18,56,16,155,38,45,2097301.78,853317.087,15,5,HAWN RANCH,1962,1974,Discontinued,State
5,Kamaoa-P Ranch,19.02532608,-155.6672146,19,1,31.2,155,40,2,2106959.065,850879.089,1375,419,PARKER RANCH,1939,1982,Discontinued,"NCDC, State, State/NCDC"
6.1,Kau-Hayselden,19.07532634,-155.6222157,19,4,31.2,155,37,20,2112589.765,855514.215,1850,564,HAYSELDEN WH,1904,1913,Discontinued,State
6.3,Kahuku Mill Camp 6.3,19.068,-155.658,19,4,4.8,155,39,28.8,2111705.693,851759.978,2062,629,NCDC_Daily,1991,Present,Current,NCDC_Daily
7.1,Field 140,19.07032708,-155.5972166,19,4,13.2,155,35,50,2112086.819,858158.592,1450,442,HUTCHINSON SUGAR,1964,1966,Discontinued,State
9,Punaluu Kahawai,19.24698362,-155.6055497,19,14,49.1,155,36,20,2131643.898,856899.647,6200,1890,STATE DIV FTRY,1929,1933,Discontinued,State
9.1,Mauna Loa,19.24365061,-155.6105496,19,14,37.1,155,36,38,2131264.309,856380.673,6200,1890,KAHUKU RANCH,1959,1966,Discontinued,State
10.1,New Mt House Rd,19.12199154,-155.593328,19,7,19.2,155,35,36,2117819.404,858456.779,1920,585,HUTCHINSON SUGAR,1964,1971,Discontinued,State
11.2,Haao Springs,19.08782636,-155.619438,19,5,16.2,155,37,10,2113980.431,855780.092,2700,823,HUTCHINSON SUGAR,1964,1971,Discontinued,State
11.3,Field 450,19.10699234,-155.5930502,19,6,25.2,155,35,35,2116158.003,858518.437,2200,671,HUTCHINSON SUGAR,1964,1971,Discontinued,State
11.4,Field 350,19.08449338,-155.5916613,19,5,4.2,155,35,30,2113667.879,858713.303,1920,585,HUTCHINSON SUGAR,1964,1971,Discontinued,State
12.11,Field 765,19.16782193,-155.5472179,19,10,4.2,155,32,50,2122993.143,863212.701,1700,518,HUTCHINSON SUGAR,1964,1971,Discontinued,State
12.7,Field 656,19.14976747,-155.5791617,19,8,59.2,155,34,45,2120926.283,859888.475,1750,534,HUTCHINSON SUGAR,1964,1973,Discontinued,State
12.8,Field 750,19.17976517,-155.5722178,19,10,47.2,155,34,20,2124264.571,860554.333,2120,646,HUTCHINSON SUGAR,1964,1971,Discontinued,State
12.9,Field 850,19.17893212,-155.5527735,19,10,44.2,155,33,10,2124212.663,862603.37,1952,595,HUTCHINSON SUGAR,1962,1975,Discontinued,State
13.3,Field 51,19.12032479,-155.5738842,19,7,13.2,155,34,26,2117674.766,860508.24,1740,530,HUTCHINSON SUGAR,1964,1970,Discontinued,State
13.7,Naalehu Airstrip,19.07532737,-155.5758284,19,4,31.2,155,34,33,2112684.792,860401.083,1180,360,HUTCHINSON SUGAR,1964,1971,Discontinued,State
13.8,Kaala Iki Astrip,19.13004644,-155.5738842,19,7,48.2,155,34,26,2118751.982,860487.111,1750,534,HUTCHINSON SUGAR,1964,1983,Discontinued,State
14.1,Honuapo  25,19.08032814,-155.5541624,19,4,49.2,155,33,15,2113283.691,862672.739,1895,578,HUTCHINSON SUGAR,1895,1907,Discontinued,State
14.2,Naalehu Hewitt,19.06366105,-155.5805503,19,3,49.2,155,34,50,2111382.387,859928.861,1250,381,GC HEWITT,1896,1900,Discontinued,State
14.3,Naalehu (1725),19.08032681,-155.5972167,19,4,49.2,155,35,50,2113194.822,858137.051,1725,526,HEWITT GC,1898,1900,Discontinued,State
16,Moaula Tunnel,19.21837381,-155.5438844,19,13,6.1,155,32,38,2128601.709,863452.481,3000,915,HAWN AG,1923,1948,Discontinued,State
16.1,Field 009,19.19698641,-155.5472179,19,11,49.2,155,32,50,2126224.822,863148.632,2325,709,HAWN AG,1967,1971,Discontinued,State
17.1,Moaula-Willis,19.19698684,-155.5138847,19,11,49.2,155,30,50,2126294.829,866657.872,1700,518,WILLIS TC,1898,1902,Discontinued,State
20.4,Field 100,19.2303176,-155.5091621,19,13,49.1,155,30,33,2129998.26,867080.915,2675,816,HAWN AG,1969,1983,Discontinued,State
20.5,Field 303,19.24559424,-155.4983287,19,14,44.1,155,29,54,2131714.068,868187.092,2840,866,KAU PLANTATION,1979,1982,Discontinued,State
23,Kahuku,19.23222222,-155.78,19,13,56,155,46,48,2129658.808,838572.256,5894,1797,RAWS,2006,Present,Current,RAWS
24,Ohia Lodge,19.2636556,-155.8741544,19,15,49.2,155,52,27,2132960.096,828601.681,1320,402,REDFEARN MRS A,1948,1950,Discontinued,State
24.2,Kaohe-Brown,19.31198823,-155.8772104,19,18,43.2,155,52,38,2138308.629,828183.68,950,290,BROWN DM,1980,1981,Discontinued,State
24.4,Kaohe Makai 24.4,19.317,-155.883,19,19,1.2,155,52,58.8,2138852.859,827564.76,307,94,NCDC_Daily,1984,Present,Current,NCDC_Daily
25,Pahoehoe,19.34393212,-155.8749878,19,20,38.2,155,52,30,2141851.632,828353.495,1000,305,LINCOLN LP,1930,1947,Discontinued,State
25.1,Kalahiki (750),19.40948383,-155.8894343,19,24,34.1,155,53,22,2149086.072,826703.456,750,229,MCDOUGALL GW,1895,1907,Discontinued,State
25.2,Kalahiki (1500),19.38031887,-155.8638781,19,22,49.1,155,51,50,2145903.81,829448.512,1500,457,MCDOUGALL GW,1904,1907,Discontinued,State
25.3,Hookena,19.38031884,-155.8805447,19,22,49.1,155,52,50,2145872.034,827696.329,850,259,ENDO CAROLYN,1926,1929,Discontinued,State
25.4,Kalahiki (1800),19.41198392,-155.8722121,19,24,43.1,155,52,20,2149395.82,828508.684,1800,549,MCDOUGALL GW,1901,1903,Discontinued,State
25.5,Mccandless Off,19.37698576,-155.8772112,19,22,37.1,155,52,38,2145509.132,828053.467,860,262,MCCANDLESS RANCH,1956,1959,Discontinued,State
25.6,Kahauko Pen,19.37698549,-155.8938779,19,22,37.1,155,53,38,2145477.469,826301.256,230,70,MCCANDLESS RANCH,1957,1959,Discontinued,State
26.3,Waipunaula,19.49420151,-155.8930461,19,29,39.1,155,53,35,2158464.313,826154.168,2320,707,BRENNER GEO,1969,1983,Discontinued,State
27.1,Uyeda-Honaunau,19.43198288,-155.8872122,19,25,55.1,155,53,14,2151582.759,826891.954,690,210,BISHOP ESTATE,1956,1962,Discontinued,State
27.2,Honaunau Forst 1,19.4119837,-155.8572121,19,24,43.1,155,51,26,2149424.5,830085.357,2240,683,BISHOP ESTATE,1954,1962,Discontinued,State
27.3,Honaunau Forst 2,19.41698295,-155.8372123,19,25,1.1,155,50,14,2150016.829,832177.422,3450,1052,BISHOP ESTATE,1957,1962,Discontinued,State
27.5,Honaunau-Steffen,19.41753913,-155.8813788,19,25,3.1,155,52,53,2149993.761,827534.021,980,299,STEFFEN GE,1977,1983,Discontinued,State
27.6,Honaunau No. 2*,19.47,-155.89,19,28,12,155,53,24,2155789.037,826522.764,1306,398,Hydronet,1992,Present,Current,Hydronet
28.3,Kahauloa 2,19.46364797,-155.8788792,19,27,49.1,155,52,44,2155106.546,827704.041,1520,463,BISHOP ESTATE,1956,1957,Discontinued,State
28.4,Keei Makai 2,19.44531561,-155.8916567,19,26,43.1,155,53,30,2153051.325,826398.158,5801,1769,BISHOP ESTATE,1954,1962,Discontinued,State
28.6,Napoopookai,19.46836978,-155.9211013,19,28,6.1,155,55,16,2155549.559,823258.162,10,3,COULTER BRUCE,1971,1975,Discontinued,State
28.7,Kealakekua #2,19.49697886,-155.9138792,19,29,49.1,155,54,50,2158732.475,823960.005,1450,442,MEIER MRS LILAH,1976,1977,Discontinued,State
28.9,Honaunau,19.44975979,-155.8805456,19,26,59.1,155,52,50,2153564.806,827556.871,1146,349,MCLEAN-HUMPHREY,1982,1982,Discontinued,State
29.1,Kealakekua-Davis,19.50697819,-155.9172125,19,30,25.1,155,55,2,2159833.895,823589.916,1580,482,DAVIS REV SH,1891,1915,Discontinued,State
29.12,Kealakekua T.f.*,19.52,-155.92,19,31,12,155,55,12,2161271.176,823271.173,1765,538,Hydronet,1991,Present,Current,Hydronet
29.3,Konawaena,19.50864475,-155.9172126,19,30,31.1,155,55,2,2160018.515,823586.586,1580,482,BUTTLES W,1956,1964,Discontinued,State
29.4,Konawaena School,19.50864479,-155.9138793,19,30,31.1,155,54,50,2160024.821,823936.732,1670,509,KONAWAENA SCH AG,1957,1964,Discontinued,State
29.6,Onouli,19.50031189,-155.9208235,19,30,1.1,155,55,15,2159088.591,823223.859,1350,412,MITCHELL DR J,1959,1962,Discontinued,State
29.9,Malukalu,19.5142001,-155.8949909,19,30,51.1,155,53,42,2160676.079,825909.73,2560,780,GREENWELL ESTATE,1962,1981,Discontinued,State
30.1,Big Hill,19.40031632,-155.8122122,19,24,1.1,155,48,44,2148218.844,834839.394,4640,1415,MCCANDLESS RANCH,1957,1957,Discontinued,State
30.2,Palipakika,19.38031865,-155.8472114,19,22,49.1,155,50,50,2145935.729,831200.728,3100,945,MCCANDLESS RANCH,1958,1961,Discontinued,State
34,Kapapala Rch*,19.28,-155.45,19,16,48,155,26,60,2135630.169,873195.722,2095,639,Hydronet,1998,Present,Current,Hydronet
35,Wood Valley Tunn,19.27031477,-155.4955512,19,16,13.1,155,29,44,2134459.349,868424.089,3400,1037,HAWN AG,1923,1954,Discontinued,State
35.2,Wood Valley Camp,19.26864852,-155.4705514,19,16,7.1,155,28,14,2134328.065,871058.697,2150,655,HAWN AG,1949,1954,Discontinued,State
35.3,Wood Valley 2000,19.2469831,-155.480551,19,14,49.1,155,28,50,2131905.812,870055.076,2000,610,HAWN AG,1911,1919,Discontinued,State
35.4,Wood Valley Res,19.27198146,-155.4855513,19,16,19.1,155,29,8,2134665.343,869472.677,2470,753,HAWN AG,1948,1949,Discontinued,State
36.2,Field 480,19.29697994,-155.463885,19,17,49.1,155,27,50,2137481.968,871696.18,3075,938,HAWN AG,1973,1975,Discontinued,State
38.6,Naulu Forest,19.31531454,-155.1322199,19,18,55.1,155,7,56,2140260.649,906553.403,1400,427,HAW VOL NAT PARK,1965,1970,Discontinued,State
38.8,Kealakomo 38.8,19.29,-155.127,19,17,24,155,7,37.2,2137466.812,907165.538,139,42,NCDC_Daily,1995,Present,Current,NCDC_Daily
39.1,Mauna Loa Upper,19.53863295,-155.5722206,19,32,19.1,155,34,20,2164029.919,859764.467,10960,3341,NWS,1955,1975,Discontinued,State
44.1,Ohaikea (3750),19.42197578,-155.3272225,19,25,19.1,155,19,38,2151634.728,885781.779,3750,1143,USDA FRUIT FLY L,1951,1951,Discontinued,State
45,Kekekaniho,19.45363981,-155.3305566,19,27,13.1,155,19,50,2155136.608,885356.297,4700,1433,KAPAPALA RANCH,1937,1949,Discontinued,State
45.2,Mauna Loa Truck,19.46697199,-155.3475012,19,28,1.1,155,20,51,2156576.248,883543.496,5100,1555,USDA FRUIT FLY L,1952,1952,Discontinued,State
45.4,Maunaloa T 5300,19.46947176,-155.3541678,19,28,10.1,155,21,15,2156838.4,882836.822,6600,2012,UH BOTANY DEPT,1972,1974,Discontinued,State
45.5,Maunaloa T 6600,19.49058134,-155.3855564,19,29,26.1,155,23,8,2159108.122,879488.085,7500,2287,UH BOTANY DEPT,1972,1972,Discontinued,State
46,7500,19.48030335,-155.4222225,19,28,49.1,155,25,20,2157888.281,875658.251,7500,2287,BALDWIN PAUL,1948,1948,Discontinued,State
46.1,6700,19.46919317,-155.4083338,19,28,9.1,155,24,30,2156687.505,877143.792,6700,2043,BALDWIN PAUL,1948,1948,Discontinued,State
46.11,Kalanaokuaiki,19.37475671,-155.2363879,19,22,29.1,155,14,11,2146607.372,895447.868,3350,1021,BALDWIN PAUL,1948,1949,Discontinued,State
46.12,Kipuka Nene #3,19.33281667,-155.2783305,19,19,58.1,155,16,42,2141863.177,891136.211,3000,915,BALDWIN PAUL,1948,1949,Discontinued,State
46.13,Kipuka Nene #2,19.33281667,-155.2783305,19,19,58.1,155,16,42,2141863.177,891136.211,3000,915,BALDWIN PAUL,1948,1949,Discontinued,State
46.14,Kipuka Papalinam,19.31698707,-155.2519419,19,19,1.2,155,15,7,2140168.657,893950.711,2500,762,BALDWIN PAUL,1948,1948,Discontinued,State
46.15,Kipuka Keanabiho,19.31476284,-155.3072175,19,18,53.1,155,18,26,2139797.03,888139.69,2350,716,BALDWIN PAUL,1948,1948,Discontinued,State
46.2,5900,19.46363826,-155.3916673,19,27,49.1,155,23,30,2156108.616,878908.609,5900,1799,BALDWIN,1948,1949,Discontinued,State
46.3,5500,19.47363808,-155.3630566,19,28,25.1,155,21,47,2157280.326,881892.671,5500,1677,BALDWIN PAUL,1948,1949,Discontinued,State
46.4,4400,19.43169672,-155.3416672,19,25,54.1,155,20,30,2152679.743,884240.001,4400,1341,BALDWIN PAUL,1948,1949,Discontinued,State
46.5,Bird Park,19.44197457,-155.2983343,19,26,31.1,155,17,54,2153916.373,888771.732,4050,1235,BALDWIN PAUL,1948,1949,Discontinued,State
46.8,Lua Manu,19.39919969,-155.2544442,19,23,57.1,155,15,16,2149275.239,893489.664,3660,1116,BALDWIN PAUL,1948,1949,Discontinued,State
46.9,Ainahou Gate,19.35114724,-155.2258315,19,21,4.1,155,13,33,2144014.744,896615.539,3070,936,BALDWIN PAUL,1948,1949,Discontinued,State
47,Keamoku Lava Flow,19.47555556,-155.3627778,19,28,32,155,21,46,2157493.458,881917.473,5600,1707,RAWS,1988,1997,Discontinued,RAWS
48,Pali 2,19.3175,-155.2922222,19,19,3,155,17,32,2140134.152,889711.036,2780,848,RAWS,1999,Present,Current,RAWS
51,Kilauea N Rim,19.43697516,-155.2705566,19,26,13.1,155,16,14,2153425.385,891704.358,4050,1235,WENTWORTH CK,1945,1966,Discontinued,State
51.1,Keauhou,19.43864165,-155.27889,19,26,19.1,155,16,44,2153591.107,890824.135,4000,1220,WH SHIPMAN,1948,1977,Discontinued,State
51.13,Vol Golf Course,19.43864167,-155.2761122,19,26,19.1,155,16,34,2153597.433,891116.206,4000,1220,MAUNA LOA OBSV,1978,1979,Discontinued,State
51.2,Kilauea Camp,19.40531048,-155.2577778,19,24,19.1,155,15,28,2149944.926,893124.344,3765,1148,HAW VOL NAT PARK,1934,1938,Discontinued,State
51.3,Olaa 29 Miles,19.43030925,-155.25139,19,25,49.1,155,15,5,2152730.371,893735.784,3800,1159,GIFFARD WM,1917,1921,Discontinued,State
51.5,Volcano Farm Lot,19.4653072,-155.2488911,19,27,55.1,155,14,56,2156615.245,893913.871,3850,1174,GALBRAITH WR,1956,1975,Discontinued,State
51.7,Mauna Loa Truck,19.43864136,-155.3083342,19,26,19.1,155,18,30,2153524.332,887728.273,4000,1220,USDA FRUIT FLY L,1952,1953,Discontinued,State
51.8,Kipuka Ki,19.44336304,-155.3172232,19,26,36.1,155,19,2,2154027.603,886782.459,4250,1296,USDA FRUIT FLY L,1950,1972,Discontinued,State
51.9,Volcano Golf Cou,19.48086163,-155.2669465,19,28,51.1,155,16,1,2158297.889,891978.218,4200,1280,WRISTON ARTHUR,1976,1993,Discontinued,State
54.14,Devastation Area,19.3958665,-155.261944,19,23,45.1,155,15,43,2148888.662,892708.91,3660,1116,HAW VOL NAT PARK,1968,1968,Discontinued,State
54.2,Glenwood,19.5105,-155.1722,19,30,37.8,155,10,19.9,2161802.706,901864.884,2620,799,HELBUSH XL,1916,Present,Current,"Hydronet, State"
54.3,Glenwood-P Sug,19.52030552,-155.1372266,19,31,13.1,155,8,14,2162972.179,905516.414,2180,665,PUNA SUGAR,1951,1959,Discontinued,State
54.4,26 Miles,19.44003119,-155.2111136,19,26,24.1,155,12,40,2153900.788,897947.287,3450,1052,SHIPMAN WH,1951,1976,Discontinued,State
54.5,Haunani Road,19.43030932,-155.2472234,19,25,49.1,155,14,50,2152739.933,894173.914,3900,1189,HORNER EUGENE,1954,1958,Discontinued,State
54.7,Kilauea Iki #1,19.41419906,-155.2483338,19,24,51.1,155,14,54,2150951.739,894096.089,3508,1070,HAW VOL NAT PK,1961,1966,Discontinued,State
55.4,Glenwood No 2   55.4,19.52,-155.127,19,31,12,155,7,37.2,2162962.595,906592.053,1933,589,NCDC_Daily,2000,Present,Current,NCDC_Daily
56,S Glenwood,19.33031822,-155.3138836,19,19,49.1,155,18,50,2141506.102,887401.519,2130,649,SUSAN CAREY,1980,1983,Discontinued,State
57,Kupu Kupu,19.34805556,-155.1258333,19,20,53,155,7,33,2143905.063,907144.157,2331,711,RAWS,2003,2003,Discontinued,RAWS
58.2,Ainahou Stl Tk,19.34337023,-155.2261091,19,20,36.1,155,13,34,2143152.096,896605.172,2975,907,SHIPMAN WH,1961,1973,Discontinued,State
59,Makaopuhi,19.36281255,-155.1749988,19,21,46.1,155,10,30,2145425.491,901934.931,2860,872,HAW VOLCANO OBS,1961,1970,Discontinued,State
63,Kaloko-Honokohau,19.67277778,-156.0202778,19,40,22,156,1,13,2178008.374,812443.194,25,8,RAWS,2005,Present,Current,RAWS
65.1,Waiakaheula,19.50031124,-154.9355587,19,30,1.1,154,56,8,2161246.173,926767.351,750,229,GOUDIE W,1894,1898,Discontinued,State
65.2,Lower Pahoa,19.52058697,-154.9222264,19,31,14.1,154,55,20,2163527.518,928115.567,380,116,PUNA SUGAR,1955,1959,Discontinued,State
65.3,Upper Pahoa,19.458085,-154.972228,19,27,29.1,154,58,20,2156473.604,923022.004,1170,357,PUNA SUGAR,1955,1959,Discontinued,State
66.1,Lava Tree Park,19.48364556,-154.9038916,19,29,1.1,154,54,14,2159477.646,930140.978,650,198,STATE DIV PARKS,1956,1978,Discontinued,State
66.3,Kapoho,19.48170105,-154.8555587,19,28,54.1,154,51,20,2159384.156,935228.624,200,61,WINFORD GARDENS,1966,1968,Discontinued,State
67.1,Kalapana(Wilson),19.35197941,-154.9741642,19,21,7.1,154,58,27,2144705.197,923093.47,10,3,WE WILSON,1897,1900,Discontinued,State
67.11,Leilani Estate,19.45448236,-154.906945,19,27,16.1,154,54,25,2156236.514,929897.029,725,221,ROSS GIDLEY,1982,1986,Discontinued,State
67.12,Lae Apuki 67.12,19.317,-155.067,19,19,1.2,155,4,1.2,2140602.289,913413.009,70,21,NCDC_Daily,1989,1995,Discontinued,NCDC_Daily
67.2,Kaueleau,19.45809107,-154.9388901,19,27,29.1,154,56,20,2156556.857,926527.923,1000,305,HENDERSON AR,1908,1917,Discontinued,State
67.3,Kaueleau 2,19.44031411,-154.905556,19,26,25.1,154,54,20,2154669.094,930080.552,350,107,GREEN JS,1908,1927,Discontinued,"NCDC, State/NCDC"
67.4,Pokoiki,19.46031494,-154.8472247,19,27,37.1,154,50,50,2157034.036,936162.411,10,3,RYCROFT R,1891,1983,Discontinued,State
67.6,Kapaahu,19.35364168,-154.992219,19,21,13.1,154,59,32,2144845.274,921189.291,100,30,USDA FRUIT FLY L,1951,1951,Discontinued,State
67.9,Keauohana 67.9,19.41,-154.947,19,24,36,154,56,49.2,2151204.833,925800.751,631,192,NCDC_Daily,1999,Present,Current,NCDC_Daily
68.11,P Empress Hotel,19.63474693,-155.9872138,19,38,5.1,155,59,14,2173856.643,815987.22,120,37,P EMPRESS HOTEL,1967,1968,Discontinued,State
68.14,Honokohau Harbor 68.14,19.683,-155.99,19,40,58.8,155,59,24,2179196.698,815600.231,669,204,NCDC_Daily,1991,Present,Current,NCDC_Daily
68.15,Kailua Hts,19.6136377,-155.9638804,19,36,49.1,155,57,50,2171561.716,818477.911,500,152,PHAILO GILLARD,1979,1983,Discontinued,State
68.18,K100,19.61919321,-155.9461028,19,37,9.1,155,56,46,2172210.468,820333.067,1480,451,G KOIKE,1976,1989,Discontinued,State
68.19,K101,19.61863748,-155.9572138,19,37,7.1,155,57,26,2172128.051,819167.841,880,268,G KOIKE,1977,1989,Discontinued,State
68.4,Kailua Kona,19.6386355,-155.9905472,19,38,19.1,155,59,26,2174281.214,815629.745,20,6,PARKER G,1985,1987,Discontinued,State
68.5,Holualoa (1450),19.61530451,-155.9505472,19,36,55.1,155,57,2,2171771.336,819874.241,1450,442,KONA DEVELOP CO,1901,1918,Discontinued,State
68.6,Lanihau,19.66363453,-155.9638815,19,39,49.1,155,57,50,2177100.198,818379.065,1540,470,FW BARTELS,1895,1900,Discontinued,State
68.7,Lanihau Mauka 1,19.66530124,-155.9505484,19,39,55.1,155,57,2,2177309.86,819774.941,1930,588,KONA EXP STATION,1958,1979,Discontinued,State
68.8,Lanihau Mauka 2,19.66530131,-155.9405488,19,39,55.1,155,56,26,2177328.712,820824.305,2440,744,HWA,1957,1960,Discontinued,State
68.9,Lanihau Mauka 3,19.6669679,-155.9305492,19,40,1.1,155,55,50,2177532.242,821870.345,2900,884,HWA,1958,1960,Discontinued,State
69.11,Laaloa,19.5936393,-155.9522137,19,35,37.1,155,57,8,2169368.194,819742.18,800,244,MILLER CD,1893,1895,Discontinued,State
69.18,Hualalai Ranch,19.73779569,-155.9572158,19,44,16.1,155,57,26,2185328.105,818931.349,2820,860,HUALALAI RANCH,1973,1977,Discontinued,State
69.19,Hualalai R Mauka,19.73390724,-155.9416608,19,44,2.1,155,56,30,2184926.711,820570.729,3800,1159,HUALALAI RANCH,1973,1977,Discontinued,State
69.21,Lolola,19.72612933,-155.988882,19,43,34.1,155,59,20,2183976.44,815632.8,1200,366,FITZGIBBON W,1976,1982,Discontinued,State
69.22,Kalaoa,19.72529635,-155.9722154,19,43,31.1,155,58,20,2183915.292,817382.743,2000,610,FLOYD  MC COY,1975,1986,Discontinued,State
69.24,Moanuiahea 69.24,19.738,-155.945,19,44,16.8,155,56,42,2185373.787,820212.289,2820,860,NCDC,1991,Present,Current,NCDC
69.4,Kohanaiki,19.70696432,-155.9755486,19,42,25.1,155,58,32,2181878.296,817069.291,1580,482,AMERICAN FACTORS,1956,1962,Discontinued,State
